Date,Opp,Score,MIN,PTS,TRB,AST,STL,BLK,TOV,PF,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB
"1/19/18","PHO","L 100-108",34,14,17,5,0,0,6,4,5,12,"41.7%",2,3,"66.7%",2,2,"100%",3,14
"1/17/18","LAC","L 104-109",34,18,8,2,1,2,1,4,7,18,"38.9%",1,8,"12.5%",3,4,"75%",1,7
"1/16/18","DAL","W 105-102",33,29,18,7,2,1,5,5,11,23,"47.8%",0,2,"0%",7,10,"70%",9,9
"1/13/18","SA","L 80-112",30,23,9,7,2,0,2,2,8,13,"61.5%",3,6,"50%",4,4,"100%",3,6
"1/12/18","MEM","W 87-78",28,14,7,3,0,0,1,3,3,8,"37.5%",1,3,"33.3%",7,8,"87.5%",2,5
"1/10/18","ATL","L 97-110",31,9,12,7,2,3,2,3,4,21,"19%",0,8,"0%",1,2,"50%",6,6
"1/8/18","GS","L 114-124",36,22,12,11,3,1,6,3,9,16,"56.2%",1,1,"100%",3,3,"100%",4,8
"1/6/18","SAC","L 98-106",34,8,7,10,0,0,5,3,3,10,"30%",0,4,"0%",2,2,"100%",1,6
"1/5/18","UTA","W 99-91",32,8,10,4,1,0,2,3,3,13,"23.1%",1,4,"25%",1,2,"50%",2,8
"1/3/18","PHO","W 134-111",36,14,9,8,2,0,6,3,4,6,"66.7%",1,1,"100%",5,5,"100%",1,8
"12/30/17","PHI","L 102-107",36,19,13,6,1,3,2,0,5,14,"35.7%",1,5,"20%",8,9,"88.9%",5,8
"12/27/17","MIN","L 125-128",41,22,9,4,2,1,2,3,5,11,"45.5%",1,3,"33.3%",11,12,"91.7%",1,8
"12/26/17","UTA","W 107-83",25,13,7,5,1,0,1,5,4,10,"40%",1,3,"33.3%",4,4,"100%",2,5
"12/23/17","GS","W 96-81",36,18,9,4,1,1,2,0,9,16,"56.2%",0,3,"0%",0,0,"0%",3,6
"12/22/17","POR","W 102-85",37,27,9,6,0,2,4,4,12,21,"57.1%",2,6,"33.3%",1,1,"100%",3,6
"12/20/17","MIN","L 104-112",36,22,6,4,0,2,10,3,6,12,"50%",2,6,"33.3%",8,9,"88.9%",0,6
"12/18/17","OKC","L 94-95",25,13,9,2,2,0,1,2,5,9,"55.6%",0,2,"0%",3,4,"75%",2,7
"12/15/17","NO","W 117-111",22,13,11,4,0,0,1,2,6,13,"46.2%",1,2,"50%",0,0,"0%",3,8
"11/30/17","CHI","W 111-110",15,8,4,4,0,0,0,1,3,6,"50%",0,0,"0%",2,2,"100%",2,2
