Date,Opp,Score,MIN,PTS,TRB,AST,STL,BLK,TOV,PF,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB
"3/8/16","NY","W 110-94",33,20,9,3,1,1,1,0,9,20,"45%",0,1,"0%",2,4,"50%",3,6
"3/6/16","DAL","W 116-114",20,13,12,3,2,1,3,4,4,11,"36.4%",0,2,"0%",5,5,"100%",2,10
"3/4/16","BKN","L 120-121",33,15,12,4,1,1,2,5,6,14,"42.9%",0,2,"0%",3,3,"100%",2,10
"3/2/16","LAL","W 117-107",28,14,6,3,0,2,1,5,3,8,"37.5%",1,2,"50%",7,8,"87.5%",1,5
"2/29/16","MEM","L 96-103",19,10,6,3,1,1,3,2,3,4,"75%",0,0,"0%",4,4,"100%",0,6
"2/26/16","DAL","L 116-122",10,5,4,2,0,0,1,3,2,4,"50%",0,0,"0%",1,2,"50%",3,1
"2/24/16","LAC","W 87-81",26,7,11,3,1,1,3,2,3,9,"33.3%",1,4,"25%",0,0,"0%",4,7
"2/23/16","SAC","L 110-114",20,13,13,6,2,0,2,5,4,8,"50%",1,2,"50%",4,4,"100%",4,9
"2/21/16","BOS","L 101-121",30,23,13,4,2,0,4,4,10,15,"66.7%",1,2,"50%",2,2,"100%",3,10
"2/19/16","SAC","L 110-116",3,0,1,0,0,0,1,4,0,0,"0%",0,0,"0%",0,0,"0%",0,1
"2/10/16","DET","W 103-92",24,5,6,2,1,0,1,0,2,7,"28.6%",0,1,"0%",1,1,"100%",0,6
"2/8/16","BKN","L 104-105",13,2,3,0,1,0,1,2,1,5,"20%",0,1,"0%",0,0,"0%",1,2
"2/7/16","NY","W 101-96",18,13,6,0,1,0,1,3,4,9,"44.4%",1,1,"100%",4,4,"100%",3,3
"2/5/16","CHI","W 115-110",25,14,12,3,0,2,1,6,5,13,"38.5%",2,2,"100%",2,2,"100%",4,8
"2/3/16","UTA","L 81-85",29,8,6,4,2,0,0,5,3,9,"33.3%",1,2,"50%",1,2,"50%",3,3
"2/1/16","TOR","W 112-93",29,27,14,4,0,1,2,3,12,18,"66.7%",1,3,"33.3%",2,4,"50%",3,11
"1/30/16","IND","L 105-109",35,16,11,2,5,0,3,4,7,15,"46.7%",1,2,"50%",1,1,"100%",3,8
"1/28/16","WAS","W 117-113",25,15,10,3,1,1,0,5,7,12,"58.3%",0,1,"0%",1,3,"33.3%",5,5
"1/27/16","BOS","L 103-111",19,3,7,4,1,1,3,2,1,6,"16.7%",0,0,"0%",1,2,"50%",3,4
"1/25/16","ATL","L 105-119",18,15,10,3,2,1,0,2,5,7,"71.4%",0,1,"0%",5,6,"83.3%",3,7
"1/23/16","DET","W 104-101",31,17,5,3,2,3,0,3,7,11,"63.6%",1,1,"100%",2,2,"100%",1,4
"1/21/16","MEM","L 101-102",13,9,2,2,2,0,0,3,2,3,"66.7%",0,0,"0%",5,5,"100%",1,1
"1/19/16","OKC","L 104-110",19,6,3,1,1,0,1,2,2,4,"50%",0,1,"0%",2,2,"100%",1,2
"1/17/16","IND","W 129-126",24,18,2,3,4,0,1,2,6,11,"54.5%",1,3,"33.3%",5,6,"83.3%",2,0
"1/15/16","MIA","L 95-98",17,9,6,5,0,1,1,2,4,7,"57.1%",0,0,"0%",1,1,"100%",2,4
"1/13/16","GS","W 112-110",15,6,7,2,3,0,1,4,3,6,"50%",0,1,"0%",0,0,"0%",3,4
"1/10/16","CHA","W 95-92",23,4,7,9,0,1,1,1,2,4,"50%",0,1,"0%",0,0,"0%",0,7
"1/8/16","MEM","L 84-91",18,9,5,1,0,0,1,2,4,4,"100%",1,1,"100%",0,0,"0%",3,2
"1/6/16","MIN","W 78-74",25,4,5,3,0,0,2,1,2,5,"40%",0,1,"0%",0,0,"0%",2,3
"1/3/16","POR","L 106-112",21,9,10,2,2,1,2,5,3,7,"42.9%",0,1,"0%",3,4,"75%",4,6
"1/2/16","GS","L 108-111",5,0,1,1,0,0,2,2,0,0,"0%",0,0,"0%",0,0,"0%",0,1
